# Date Start End Tel vlabursts band overlap coburst
2015-11-25 03:25:29 04:25:14 VLA 0 L none none
2015-12-01 05:31:31 06:31:21 VLA 0 L none none
2015-12-03 02:53:57 03:53:46 VLA 0 L none none
2015-12-05 04:45:44 05:45:33 VLA 0 L none none
2015-12-07 04:37:50 05:37:39 VLA 0 L none none
2015-12-09 09:29:25 10:29:15 VLA 0 L none none
2015-12-11 09:22:27 10:22:17 VLA 0 L none none
2015-12-13 09:13:07 10:12:56 VLA 0 L none none
2015-12-15 09:06:16 10:06:06 VLA 0 L none none
2015-12-17 08:57:51 09:57:40 VLA 0 L none none
2016-04-25 15:39:33 16:20:39 VLA 0 S none none
2016-04-26 21:49:35 22:04:12 VLA 0 S none none
2016-04-26 23:14:31 01:14:11 VLA 0 S none none # day wrap
2016-04-27 23:26:09 01:25:50 VLA 0 S none none # day wrap
2016-04-28 22:41:31 00:41:11 VLA 0 S none none # day wrap
2016-04-29 22:37:34 00:37:14 VLA 0 S none none # day wrap
2016-04-30 19:14:46 20:14:35 VLA 0 S none none
2016-05-01 18:08:21 19:08:10 VLA 0 S none none
2016-05-02 23:14:18 00:14:07 VLA 0 S none none # day wrap
2016-05-03 22:53:26 23:53:15 VLA 0 S none none
2016-05-04 22:50:30 23:50:19 VLA 0 S none none
2016-05-06 18:25:12 19:25:01 VLA 0 S none none
2016-05-07 19:34:13 20:34:03 VLA 0 S none none
2016-05-08 19:30:20 20:30:10 VLA 0 S none none
2016-05-13 17:12:48 19:27:25 VLA 0 S none none
2016-05-14 17:14:11 19:28:48 VLA 0 S none none
2016-05-15 17:15:26 19:30:03 VLA 0 S none none
2016-05-16 16:59:52 19:14:29 VLA 0 S none none
2016-05-20 16:45:46 19:00:23 VLA 0 S none none
2016-05-21 16:44:06 18:58:44 VLA 0 S none none
2016-05-22 16:43:53 18:58:30 VLA 0 S none none
2016-05-23 16:44:11 18:58:48 VLA 0 S none none
2016-05-27 16:29:34 18:44:11 VLA 0 S none none
2016-08-23 17:26:28 18:20:18 VLA 1 S none none
2016-09-02 15:52:17 16:46:08 VLA 2 S none none
2016-09-07 10:14:50 12:14:29 VLA 1 S none none
2016-09-08 10:14:40 12:14:19 VLA 0 S none none
2016-09-10 09:59:36 11:59:15 VLA 0 S none none
2016-09-11 09:59:49 11:59:29 VLA 0 S none none
2016-09-12 09:15:19 11:14:58 VLA 1 S AMI-LA none
2016-09-13 09:23:59 11:23:39 VLA 0 S none none
2016-09-14 09:20:23 11:20:03 VLA 1 S Arecibo,AMI-LA none
2016-09-15 09:16:29 11:16:09 VLA 1 S none none
2016-09-16 09:11:23 11:11:03 VLA 0 S none none
2016-09-17 08:59:20 10:59:00 VLA 1 S Arecibo,Effelsberg,AMI-LA Arecibo
2016-09-18 08:59:27 10:59:07 VLA 1 S Arecibo,Effelsberg,AMI-LA none
2016-09-19 08:44:32 10:44:12 VLA 0 S none none
2016-09-20 08:44:33 10:44:13 VLA 0 S none none
2016-09-20 17:19:03 19:18:42 VLA 0 C none none
2016-09-21 09:13:57 11:13:36 VLA 0 C none none
2016-09-22 09:12:24 11:12:04 VLA 0 C none none
